# Wavelength[nm] MITSuME_g MITSuME_Rc MITSuME_Ic 2MASS_J IRSF_J IRSF_H IRSF_Ks
1012 0 0 0 0 0 0 0
1013 0 0 0 0 0 0 0
1014 0 0 0 0 0 0 0
1015 0 0 0 0 0 0 0
1016 0 0 0 0 0 0 0
1017 0 0 0 0 0 0 0
1018 0 0 0 0 0 0 0
1019 0 0 0 0 0 0 0
1020 0 0 0 0 0 0 0
1021 0 0 0 0 0 0 0
1022 0 0 0 0 0 0 0
1023 0 0 0 0 0 0 0
1024 0 0 0 0 0 0 0
1025 0 0 0 0 0 0 0
1026 0 0 0 0 0 0 0
1027 0 0 0 0 0 0 0
1028 0 0 0 0 0 0 0
1029 0 0 0 0 0 0 0
1030 0 0 0 0 0 0 0
1031 0 0 0 0 0 0 0
1032 0 0 0 0 0 0 0
1033 0 0 0 0 0 0 0
1034 0 0 0 0 0 0 0
1035 0 0 0 0 0 0 0
1036 0 0 0 0 0 0 0
1037 0 0 0 0 0 0 0
1038 0 0 0 0 0 0 0
1039 0 0 0 0 0 0 0
1040 0 0 0 0 0 0 0
1041 0 0 0 0 0 0 0
1042 0 0 0 0 0 0 0
1043 0 0 0 0 0 0 0
1044 0 0 0 0 0 0 0
1045 0 0 0 0 0 0 0
1046 0 0 0 0 0 0 0
1047 0 0 0 0 0 0 0
1048 0 0 0 0 0 0 0
1049 0 0 0 0 0 0 0
1050 0 0 0 0 0 0 0
1051 0 0 0 0 0 0 0
1052 0 0 0 0 0 0 0
1053 0 0 0 0 0 0 0
1054 0 0 0 0 0 0 0
1055 0 0 0 0 0 0 0
1056 0 0 0 0 0 0 0
1057 0 0 0 0 0 0 0
1058 0 0 0 0 0 0 0
1059 0 0 0 0 0 0 0
1060 0 0 0 0 0 0 0
1061 0 0 0 0 0 0 0
1062 0 0 0 0 0 0 0
1063 0 0 0 0.000614776007698065 0 0 0
1064 0 0 0 0.00122955201539613 0 0 0
1065 0 0 0 0.00184432802309419 0 0 0
1066 0 0 0 0.00245910403079226 0 0 0
1067 0 0 0 0.00416978509569122 0 0 0
1068 0 0 0 0.00588046616059018 0 0 0
1069 0 0 0 0.00759114722548915 0 0 0
1070 0 0 0 0.00930182829038811 0 0 0
1071 0 0 0 0.010648989628996 0 0 0
1072 0 0 0 0.011996150967604 0 0 0
1073 0 0 0 0.0133433123062119 0 0 0
1074 0 0 0 0.0146904736448198 0 0 0
1075 0 0 0 0.0160376349834278 0 0 0
1076 0 0 0 0.0217042660109056 0 0 0
1077 0 0 0 0.0273708970383834 0 0 0
1078 0 0 0 0.0330375280658612 0 0 0
1079 0 0 0 0.0432214262803379 0 0 0
1080 0 0 0 0.0534053244948145 0 0 0
1081 0 0 0 0.0635892227092911 0 0 0
1082 0 0 0 0.0737731209237678 0 0 0
1083 0 0 0 0.0976157382657971 0 0 0
1084 0 0 0 0.121458355607826 0 0 0
1085 0 0 0 0.141879610820058 0 0 0
1086 0 0 0 0.162300866032289 0 0 0
1087 0 0 0 0.18272212124452 0 0 0
1088 0 0 0 0.213354004062868 0 0 0
1089 0 0 0 0.243985886881215 0 0 0
1090 0 0 0 0.260130439431199 0 0 0
1091 0 0 0 0.276274991981182 0 0 0
1092 0 0 0 0.292419544531166 0 0 0
1093 0 0 0 0.30856409708115 0 0 0
1094 0 0 0 0.330125806336648 0 0 0
1095 0 0 0 0.351687515592145 0 0 0
1096 0 0 0 0.373249224847643 0 0 0
1097 0 0 0 0.38686339498913 0 0 0
1098 0 0 0 0.400477565130618 0 0 0
1099 0 0 0 0.414091735272105 0 0 0
1100 0 0 0 0.427705905413593 0 0 0
1101 0 0 0 0.44132007555508 0 0 0
1102 0 0 0 0.454934245696568 0 0 0
1103 0 0 0 0.469653230692469 0 0 0
1104 0 0 0 0.484372215688371 0 0 0
1105 0 0 0 0.499091200684272 0 0 0
1106 0 0 0 0.528012402437721 0 0 0
1107 0 0 0 0.556933604191169 0 0 0
1108 0 0 0 0.582486902598097 0 0 0
1109 0 0 0 0.608040201005025 0 0 0
