# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6248.20848437        6.325921E+04
       6250.55662891        6.313652E+04
       6252.90379687        6.263056E+04
       6255.25291797        6.203589E+04
       6257.60155078        6.208579E+04
       6259.95116016        6.287036E+04
       6262.30174609        6.415936E+04
       6264.65330859        6.564479E+04
       6267.00487109        6.669397E+04
       6269.35643359        6.714629E+04
       6271.70994922        6.721652E+04
       6274.06297656        6.714990E+04
       6276.41698047        6.708039E+04
       6278.77147266        6.733789E+04
       6281.12694141        6.800980E+04
       6283.48338672        6.897973E+04
       6285.83983203        6.999376E+04
       6288.19627734        7.049684E+04
       6290.55467578        7.045728E+04
       6292.91209766        7.000786E+04
       6295.27244922        6.961939E+04
       6297.63182422        6.957237E+04
       6299.99119922        6.981893E+04
       6302.35252734        7.038459E+04
       6304.71336719        7.122784E+04
       6307.07567187        7.203824E+04
       6309.43846484        7.282005E+04
       6311.80076953        7.333107E+04
       6314.16551562        7.349306E+04
       6316.52977344        7.369486E+04
       6318.89549609        7.414136E+04
       6321.26073047        7.477591E+04
       6323.62694141        7.554095E+04
       6325.99412891        7.618619E+04
       6328.36082812        7.655965E+04
       6330.72948047        7.681257E+04
       6333.09813281        7.697888E+04
       6335.46678516        7.704810E+04
       6337.83739062        7.709376E+04
       6340.20701953        7.741271E+04
       6342.57860156        7.800323E+04
       6344.94969531        7.862848E+04
       6347.32176562        7.911898E+04
       6349.69383594        7.929103E+04
       6352.06639453        7.900178E+04
       6354.44041797        7.796701E+04
       6356.81444141        7.669344E+04
       6359.18944141        7.566881E+04
       6361.56541797        7.533482E+04
       6363.94090625        7.561988E+04
       6366.31785937        7.640678E+04
       6368.69432422        7.715885E+04
       6371.07176562        7.746526E+04
       6373.45018359        7.699075E+04
       6375.82860156        7.597247E+04
       6378.20750781        7.486628E+04
       6380.58739062        7.403178E+04
       6382.96825000        7.358793E+04
       6385.34813281        7.380535E+04
       6387.72996875        7.417812E+04
       6390.11229297        7.461531E+04
       6392.49412891        7.535086E+04
       6394.87742969        7.620427E+04
       6397.26073047        7.709984E+04
       6399.64500781        7.817305E+04
       6402.03026172        7.916685E+04
       6404.41551562        8.003150E+04
       6406.80125781        8.073565E+04
       6409.18797656        8.110625E+04
       6411.57420703        8.146153E+04
       6413.96190234        8.171496E+04
       6416.35008594        8.199377E+04
       6418.73924609        8.241088E+04
       6421.12791797        8.279314E+04
       6423.51805469        8.325540E+04
       6425.90819141        8.357434E+04
       6428.29832812        8.352442E+04
       6430.69041797        8.304273E+04
       6433.08201953        8.224265E+04
       6435.47459766        8.151349E+04
       6437.86766406        8.149559E+04
       6440.26121875        8.213552E+04
       6442.65575000        8.319221E+04
       6445.05125781        8.407908E+04
       6447.44530078        8.426735E+04
       6449.84080859        8.427313E+04
       6452.23778125        8.447684E+04
       6454.63524219        8.523062E+04
       6457.03221484        8.516068E+04
       6459.43065234        8.442505E+04
       6461.82908984        8.412541E+04
       6464.22850391        8.454303E+04
       6466.62791797        8.572093E+04
       6469.02782031        8.715588E+04
       6471.42918750        8.818532E+04
       6473.83006641        8.902541E+04
       6476.23241016        8.956186E+04
       6478.63524219        8.982557E+04
       6481.03807422        8.980488E+04
       6483.44139453        8.952132E+04
       6485.84569141        8.885153E+04
       6488.24998828        8.727662E+04
       6490.65575000        8.498932E+04
       6493.06151172        8.279609E+04
       6495.46776172        8.193832E+04
       6497.87450000        8.307275E+04
       6500.28221484        8.557126E+04
       6502.69090625        8.828091E+04
       6505.09910937        9.022386E+04
       6507.50828906        9.139653E+04
       6509.91795703        9.200962E+04
       6512.32811328        9.247674E+04
       6514.73973437        9.287036E+04
       6517.15135547        9.323628E+04
       6519.56248828        9.367979E+04
       6521.97557422        9.416212E+04
       6524.38817187        9.460708E+04
       6526.80174609        9.492145E+04
       6529.21532031        9.505783E+04
       6531.63084766        9.537802E+04
       6534.04637500        9.567443E+04
       6536.46239062        9.587894E+04
       6538.87840625        9.586400E+04
       6541.29491016        9.534313E+04
       6543.71239062        9.457492E+04
       6546.13035937        9.404305E+04
       6548.54881641        9.363312E+04
       6550.96825000        9.326373E+04
       6553.38817187        9.290844E+04
       6555.80858203        9.227472E+04
       6558.22948047        9.142371E+04
       6560.65086719        9.087246E+04
       6563.07225391        9.081832E+04
       6565.49510547        9.110913E+04
       6567.91795703        9.177114E+04
       6570.34129687        9.221141E+04
       6572.76512500        9.242904E+04
       6575.19041797        9.292170E+04
       6577.61522266        9.384185E+04
       6580.04149219        9.475193E+04
       6582.46776172        9.546621E+04
       6584.89500781        9.554815E+04
       6587.32176562        9.528576E+04
       6589.74998828        9.450541E+04
       6592.17869922        9.398012E+04
       6594.60838672        9.407872E+04
       6597.03807422        9.468117E+04
       6599.46825000        9.544199E+04
       6601.89891406        9.570171E+04
       6604.33006641        9.566534E+04
       6606.76219531        9.549375E+04
       6609.19432422        9.554573E+04
       6611.62742969        9.593155E+04
       6614.06151172        9.637549E+04
       6616.49559375        9.645697E+04
       6618.93065234        9.630578E+04
       6621.36522266        9.597582E+04
       6623.80125781        9.556882E+04
       6626.23778125        9.505437E+04
       6628.67430469        9.489238E+04
       6631.11180469        9.492043E+04
       6633.54979297        9.516963E+04
       6635.98826953        9.548365E+04
       6638.42772266        9.572560E+04
       6640.86815234        9.584596E+04
       6643.30760547        9.582762E+04
       6645.74852344        9.561381E+04
       6648.18992969        9.543811E+04
       6650.63231250        9.519537E+04
       6653.07420703        9.483247E+04
       6655.51707812        9.439805E+04
       6657.96092578        9.406552E+04
       6660.40526172        9.375297E+04
       6662.84959766        9.359985E+04
       6665.29491016        9.388845E+04
       6667.74022266        9.453458E+04
       6670.18700000        9.467207E+04
       6672.63426562        9.416347E+04
       6675.08201953        9.324421E+04
       6677.52977344        9.232665E+04
       6679.97801562        9.198489E+04
       6682.42772266        9.207154E+04
       6684.87694141        9.237878E+04
       6687.32713672        9.257250E+04
       6689.77830859        9.250635E+04
       6692.22948047        9.226436E+04
       6694.68114062        9.225383E+04
       6697.13377734        9.236817E+04
       6699.58641406        9.263878E+04
       6702.04100391        9.290852E+04
       6704.49412891        9.300604E+04
       6706.94871875        9.253565E+04
       6709.40428516        9.156140E+04
       6711.86033984        8.999239E+04
       6714.31737109        8.839264E+04
       6716.77293750        8.750958E+04
       6719.23143359        8.744277E+04
       6721.68846484        8.820881E+04
       6724.14744922        8.918623E+04
       6726.60643359        8.971707E+04
       6729.06590625        8.991987E+04
       6731.52684375        9.011847E+04
       6733.98778125        9.019469E+04
       6736.44823047        9.003140E+04
       6738.91112109        8.976225E+04
       6741.37303516        8.919076E+04
       6743.83641406        8.861987E+04
       6746.29979297        8.806888E+04
       6748.76366016        8.772578E+04
       6751.22899219        8.793286E+04
       6753.69334766        8.847528E+04
       6756.16014453        8.903015E+04
       6758.62547656        8.941643E+04
       6761.09276172        8.939358E+04
       6763.56004687        8.900917E+04
       6766.02782031        8.863197E+04
       6768.49608203        8.855318E+04
       6770.96580859        8.881041E+04
       6773.43651172        8.906025E+04
       6775.90575000        8.895076E+04
       6778.37596484        8.833206E+04
       6780.84764453        8.738803E+04
       6783.31932422        8.665989E+04
       6785.79246875        8.630806E+04
       6788.26512500        8.634032E+04
       6790.73826953        8.637801E+04
       6793.21287891        8.643718E+04
       6795.68797656        8.655014E+04
       6798.16258594        8.669059E+04
       6800.63866016        8.674305E+04
       6803.11424609        8.674514E+04
       6805.59080859        8.656767E+04
       6808.06785937        8.650584E+04
       6810.54588672        8.635537E+04
       6813.02342578        8.617609E+04
       6815.50194141        8.604680E+04
       6817.98094531        8.594579E+04
       6820.45946094        8.590225E+04
       6822.93992969        8.598766E+04
       6825.41991016        8.603959E+04
       6827.90086719        8.606015E+04
       6830.38182422        8.600446E+04
       6832.86326953        8.583130E+04
       6835.34617969        8.571793E+04
       6837.82811328        8.557063E+04
       6840.31102344        8.532919E+04
       6842.79539844        8.500201E+04
       6845.27830859        8.452789E+04
       6847.76366016        8.398566E+04
       6850.24803516        8.335630E+04
       6852.73338672        8.264168E+04
       6855.21922656        8.192874E+04
       6857.70555469        8.107115E+04
       6860.19237109        7.939322E+04
       6862.67967578        7.596546E+04
       6865.16698047        7.157428E+04
       6867.65526172        6.740068E+04
       6870.14354297        6.542245E+04
       6872.63328906        6.676122E+04
       6875.12205859        6.992624E+04
       6877.61229297        7.321603E+04
       6880.10301562        7.540759E+04
       6882.59276172        7.647964E+04
       6885.08494922        7.669241E+04
       6887.57664844        7.687160E+04
       6890.06932422        7.731197E+04
       6892.56200000        7.780738E+04
       6895.05467578        7.815760E+04
       6897.54832812        7.855959E+04
       6900.04246875        7.935777E+04
       6902.53758594        8.079573E+04
       6905.03319141        8.261467E+04
       6907.52830859        8.416134E+04
       6910.02440234        8.500354E+04
       6912.52049609        8.518921E+04
       6915.01707812        8.511432E+04
       6917.51463672        8.575249E+04
       6920.01268359        8.708722E+04
       6922.51170703        8.921567E+04
       6925.00975391        9.149629E+04
       6927.50828906        9.339040E+04
       6930.00828906        9.474373E+04
       6932.50877734        9.546387E+04
       6935.01024219        9.602677E+04
       6937.51121875        9.660356E+04
       6940.01268359        9.742183E+04
       6942.51463672        9.836768E+04
       6945.01658984        9.920070E+04
       6947.51951953        9.975193E+04
       6950.02342578        9.987447E+04
       6952.52733203        9.980148E+04
       6955.03123828        9.995542E+04
       6957.53563281        1.002627E+05
       6960.04149219        1.007395E+05
       6962.54735156        1.009688E+05
       6965.05272266        1.010457E+05
       6967.56004687        1.008025E+05
       6970.06737109        1.001193E+05
       6972.57518359        9.930828E+04
       6975.08299609        9.858645E+04
       6977.59178516        9.837721E+04
       6980.10008594        9.897110E+04
       6982.60985156        9.996729E+04
       6985.12010547        1.007161E+05
       6987.63035937        1.010982E+05
       6990.14110156        1.011961E+05
       6992.65233203        1.013119E+05
       6995.16453906        1.015666E+05
       6997.67625781        1.019226E+05
       7000.18895312        1.021372E+05
       7002.70213672        1.023744E+05
       7005.21532031        1.027400E+05
       7007.72948047        1.029922E+05
       7010.24412891        1.030360E+05
       7012.75926562        1.030922E+05
       7015.27489062        1.033428E+05
       7017.79100391        1.036135E+05
       7020.30662891        1.039797E+05
       7022.82371875        1.045761E+05
       7025.34178516        1.053650E+05
       7027.85936328        1.063455E+05
       7030.37791797        1.072172E+05
       7032.89647266        1.079003E+05
       7035.41551562        1.085710E+05
       7037.93504687        1.097362E+05
       7040.45555469        1.110240E+05
       7042.97557422        1.120860E+05
       7045.49657031        1.122809E+05
       7048.01903125        1.114439E+05
       7050.54002734        1.095869E+05
       7053.06297656        1.074883E+05
       7055.58592578        1.059298E+05
       7058.10887500        1.049593E+05
       7060.63280078        1.045992E+05
       7063.15721484        1.046989E+05
       7065.68162891        1.052690E+05
       7068.20604297        1.060661E+05
       7070.73241016        1.069320E+05
       7073.25926562        1.075466E+05
       7075.78514453        1.076311E+05
       7078.31248828        1.071000E+05
       7080.83934375        1.056690E+05
       7083.36766406        1.037233E+05
       7085.89647266        1.020093E+05
       7088.42528125        1.011166E+05
       7090.95506641        1.008864E+05
       7093.48436328        1.012164E+05
       7096.01463672        1.016088E+05
       7098.54588672        1.020359E+05
       7101.07762500        1.024590E+05
       7103.60936328        1.028166E+05
       7106.14061328        1.031128E+05
       7108.67332812        1.032174E+05
       7111.20653125        1.034685E+05
       7113.74022266        1.038423E+05
       7116.27342578        1.041455E+05
       7118.80907031        1.037693E+05
       7121.34422656        1.021663E+05
       7123.87889453        9.986521E+04
