# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6487.77141406        1.104476E+05
       6490.20989063        1.085211E+05
       6492.64690234        1.068361E+05
       6495.08635547        1.064455E+05
       6497.52629688        1.078491E+05
       6499.96575000        1.105986E+05
       6502.40569141        1.138072E+05
       6504.84709766        1.161662E+05
       6507.28899219        1.173336E+05
       6509.73039844        1.177354E+05
       6512.17326953        1.181138E+05
       6514.61614063        1.185882E+05
       6517.05998828        1.191515E+05
       6519.50481250        1.197665E+05
       6521.94963672        1.204809E+05
       6524.39494922        1.210310E+05
       6526.84075000        1.212232E+05
       6529.28752734        1.214257E+05
       6531.73430469        1.218403E+05
       6534.18157031        1.221570E+05
       6536.62981250        1.222553E+05
       6539.07854297        1.219168E+05
       6541.52776172        1.211210E+05
       6543.97795703        1.199453E+05
       6546.42766406        1.185817E+05
       6548.87883594        1.176375E+05
       6551.33049609        1.164823E+05
       6553.78166797        1.143292E+05
       6556.23479297        1.123942E+05
       6558.68840625        1.118968E+05
       6561.14104297        1.116468E+05
       6563.59563281        1.121486E+05
       6566.05022266        1.141765E+05
       6568.50578906        1.169112E+05
       6570.96184375        1.185818E+05
       6573.41838672        1.191988E+05
       6575.87444141        1.203248E+05
       6578.33244922        1.218347E+05
       6580.78996875        1.230872E+05
       6583.24895313        1.234029E+05
       6585.70842578        1.230887E+05
       6588.16789844        1.226337E+05
       6590.62785938        1.221353E+05
       6593.08879688        1.218727E+05
       6595.55022266        1.220681E+05
       6598.01164844        1.224600E+05
       6600.47453906        1.227559E+05
       6602.93742969        1.227422E+05
       6605.40080859        1.226548E+05
       6607.86467578        1.229852E+05
       6610.32903125        1.241498E+05
       6612.79436328        1.256212E+05
       6615.26018359        1.263468E+05
       6617.72600391        1.263312E+05
       6620.19328906        1.257674E+05
       6622.66106250        1.247867E+05
       6625.12932422        1.237768E+05
       6627.59709766        1.235001E+05
       6630.06633594        1.237474E+05
       6632.53655078        1.241708E+05
       6635.00627734        1.247036E+05
       6637.47698047        1.252468E+05
       6639.94866016        1.256294E+05
       6642.42033984        1.254673E+05
       6644.89201953        1.252722E+05
       6647.36467578        1.252849E+05
       6649.83830859        1.252279E+05
       6652.31242969        1.248659E+05
       6654.78703906        1.243782E+05
       6657.26164844        1.236031E+05
       6659.73772266        1.230179E+05
       6662.21379688        1.230333E+05
       6664.69035938        1.235421E+05
       6667.16741016        1.242574E+05
       6669.64592578        1.247922E+05
       6672.12444141        1.248623E+05
       6674.60295703        1.245296E+05
       6677.08244922        1.239044E+05
       6679.56242969        1.237843E+05
       6682.04289844        1.243710E+05
       6684.52434375        1.251937E+05
       6687.00578906        1.254068E+05
       6689.48821094        1.252524E+05
       6691.97063281        1.252223E+05
       6694.45403125        1.251302E+05
       6696.93742969        1.250820E+05
       6699.42180469        1.255264E+05
       6701.90715625        1.258757E+05
       6704.39348438        1.256348E+05
       6706.87883594        1.247212E+05
       6709.36614063        1.233194E+05
       6711.85295703        1.221074E+05
       6714.34075000        1.213767E+05
       6716.82854297        1.212490E+05
       6719.31731250        1.220893E+05
       6721.80705859        1.234362E+05
       6724.29680469        1.244641E+05
       6726.78703906        1.249469E+05
       6729.27776172        1.250297E+05
       6731.76946094        1.248822E+05
       6734.26213672        1.244009E+05
       6736.75481250        1.237230E+05
       6739.24748828        1.229192E+05
       6741.74162891        1.221748E+05
       6744.23576953        1.216512E+05
       6746.73039844        1.217235E+05
       6749.22649219        1.224388E+05
       6751.72209766        1.236770E+05
       6754.21867969        1.252473E+05
       6756.71575000        1.266388E+05
       6759.21282031        1.272517E+05
       6761.71135547        1.270739E+05
       6764.20989063        1.267008E+05
       6766.70940234        1.269114E+05
       6769.20891406        1.277475E+05
       6771.70989063        1.289846E+05
       6774.21086719        1.297128E+05
       6776.71184375        1.293877E+05
       6779.21477344        1.282588E+05
       6781.71721484        1.268530E+05
       6784.21965625        1.260118E+05
       6786.72356250        1.260630E+05
       6789.22795703        1.269605E+05
       6791.73283984        1.280782E+05
       6794.23723438        1.288354E+05
       6796.74309375        1.296469E+05
       6799.24992969        1.304891E+05
       6801.75774219        1.310520E+05
       6804.26457813        1.311755E+05
       6806.77287891        1.312243E+05
       6809.28069141        1.312367E+05
       6811.78996875        1.314397E+05
       6814.29875781        1.318343E+05
       6816.80852344        1.325732E+05
       6819.31975391        1.332029E+05
       6821.83000781        1.334725E+05
       6824.34172656        1.336121E+05
       6826.85295703        1.335494E+05
       6829.36516406        1.333307E+05
       6831.87834766        1.329536E+05
       6834.39104297        1.326182E+05
       6836.90471484        1.323251E+05
       6839.41887500        1.320195E+05
       6841.93450000        1.319766E+05
       6844.44963672        1.323632E+05
       6846.96526172        1.325029E+05
       6849.48137500        1.320030E+05
       6851.99748828        1.310238E+05
       6854.51408984        1.297856E+05
       6857.03117969        1.279288E+05
       6859.55022266        1.241462E+05
       6862.06926563        1.189046E+05
       6864.58830859        1.134511E+05
       6867.10783984        1.084560E+05
       6869.62688281        1.065365E+05
       6872.14787891        1.089580E+05
       6874.66838672        1.137758E+05
       6877.19035938        1.184460E+05
       6879.71184375        1.215400E+05
       6882.23430469        1.228487E+05
       6884.75774219        1.232433E+05
