# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       6979.13112109        1.728870E+05
       6981.67213672        1.753934E+05
       6984.21559375        1.764798E+05
       6986.75856250        1.766779E+05
       6989.30299609        1.766256E+05
       6991.84645313        1.765024E+05
       6994.39137500        1.761522E+05
       6996.93678516        1.755752E+05
       6999.48268359        1.753040E+05
       7002.02809375        1.754795E+05
       7004.57496875        1.758275E+05
       7007.12184375        1.757620E+05
       7009.66969531        1.752061E+05
       7012.21754688        1.749188E+05
       7014.76539844        1.752302E+05
       7017.31520313        1.756053E+05
       7019.86403125        1.762048E+05
       7022.41383594        1.764562E+05
       7024.96461719        1.770055E+05
       7027.51539844        1.780624E+05
       7030.06617969        1.788160E+05
       7032.61744922        1.794385E+05
       7035.17018359        1.806474E+05
       7037.72291797        1.824075E+05
       7040.27662891        1.841653E+05
       7042.82936328        1.847584E+05
       7045.38453906        1.827779E+05
       7047.93873828        1.790588E+05
       7050.49391406        1.750289E+05
       7053.04957813        1.719993E+05
       7055.60524219        1.699506E+05
       7058.16188281        1.686178E+05
       7060.71950000        1.674351E+05
       7063.27662891        1.672592E+05
       7065.83424609        1.688636E+05
       7068.39283984        1.715376E+05
       7070.95192188        1.743959E+05
       7073.51100391        1.757126E+05
       7076.07106250        1.749377E+05
       7078.63160938        1.716025E+05
       7081.19166797        1.673442E+05
       7083.75416797        1.636992E+05
       7086.31520313        1.617358E+05
       7088.87721484        1.613747E+05
       7091.44020313        1.618701E+05
       7094.00319141        1.626328E+05
       7096.56666797        1.630596E+05
       7099.13112109        1.633543E+05
       7101.69655078        1.634877E+05
       7104.26051563        1.633778E+05
